Key,Planet,Ticker,Type,Factor
AJ-300e-O,AJ-300e,O,GASEOUS,0.049988001585006714
AJ-505a-BER,AJ-505a,BER,MINERAL,0.01758587546646595
AJ-505a-HE,AJ-505a,HE,GASEOUS,0.07116138935089111
AJ-505b-GAL,AJ-505b,GAL,MINERAL,0.29720792174339294
AJ-505c-MAG,AJ-505c,MAG,MINERAL,0.04637851193547249
AJ-505c-MGS,AJ-505c,MGS,MINERAL,0.04557031765580177
AJ-505c-SIO,AJ-505c,SIO,MINERAL,0.04185624048113823
AJ-575a-LIO,AJ-575a,LIO,MINERAL,0.12464004755020142
AJ-575b-AMM,AJ-575b,AMM,GASEOUS,0.011490356177091599
AJ-575b-HE,AJ-575b,HE,GASEOUS,0.028726670891046524
AJ-575c-LIO,AJ-575c,LIO,MINERAL,0.36446070671081543
AJ-575f-H,AJ-575f,H,GASEOUS,0.6230205297470093
AJ-768a-H2O,AJ-768a,H2O,LIQUID,0.19400237500667572
AJ-768a-O,AJ-768a,O,GASEOUS,0.19239486753940582
AJ-768c-FEO,AJ-768c,FEO,MINERAL,0.035404231399297714
AJ-768c-GAL,AJ-768c,GAL,MINERAL,0.29465630650520325
AJ-768c-H2O,AJ-768c,H2O,MINERAL,0.14436352252960205
AJ-768d-AMM,AJ-768d,AMM,MINERAL,0.012092489749193192
AJ-768e-AMM,AJ-768e,AMM,MINERAL,0.044301316142082214
AJ-768g-AMM,AJ-768g,AMM,MINERAL,0.04971352592110634
AJ-768g-N,AJ-768g,N,LIQUID,0.2306666523218155
AJ-946a-AMM,AJ-946a,AMM,GASEOUS,0.01384187676012516
AJ-946a-CLI,AJ-946a,CLI,MINERAL,0.4354363679885864
AJ-946a-LST,AJ-946a,LST,MINERAL,0.7181578278541565
AJ-946b-SIO,AJ-946b,SIO,MINERAL,0.737183153629303
AJ-946c-BOR,AJ-946c,BOR,MINERAL,0.1882009208202362
AJ-946e-TCO,AJ-946e,TCO,MINERAL,0.03934832289814949
AJ-946f-TAI,AJ-946f,TAI,MINERAL,0.17011119425296783
AJ-946g-NE,AJ-946g,NE,GASEOUS,0.019576437771320343
AJ-946h-H,AJ-946h,H,GASEOUS,0.2542576789855957
AJ-946h-N,AJ-946h,N,LIQUID,0.1953120231628418
AJ-946j-ALO,AJ-946j,ALO,MINERAL,0.032398223876953125
AJ-946j-AMM,AJ-946j,AMM,MINERAL,0.10009454935789108
AJ-946j-BER,AJ-946j,BER,MINERAL,0.19263465702533722
AJ-946j-O,AJ-946j,O,MINERAL,0.5262265801429749
AM-001a-TCO,AM-001a,TCO,MINERAL,0.15878663957118988
AM-001b-BOR,AM-001b,BOR,MINERAL,0.029472829774022102
AM-001b-SIO,AM-001b,SIO,MINERAL,0.5718839764595032
AM-001c-BER,AM-001c,BER,MINERAL,0.20564354956150055
AM-001c-GAL,AM-001c,GAL,MINERAL,0.021510856226086617
AM-001c-LIO,AM-001c,LIO,MINERAL,0.031788766384124756
AM-001d-BOR,AM-001d,BOR,MINERAL,0.16783860325813293
AM-001d-GAL,AM-001d,GAL,MINERAL,0.0356854610145092
AM-001d-LIO,AM-001d,LIO,MINERAL,0.04605923593044281
AM-001d-SCR,AM-001d,SCR,MINERAL,0.024638410657644272
AM-001e-BER,AM-001e,BER,MINERAL,0.03540900722146034
AM-001e-CLI,AM-001e,CLI,MINERAL,0.2990055978298187
AM-001f-AMM,AM-001f,AMM,MINERAL,0.049915630370378494
AM-001h-HE,AM-001h,HE,GASEOUS,0.025548109784722328
AM-001i-HAL,AM-001i,HAL,MINERAL,0.10231008380651474
AM-001i-N,AM-001i,N,MINERAL,0.225735142827034
AM-371a-AMM,AM-371a,AMM,LIQUID,0.039177265018224716
AM-371a-GAL,AM-371a,GAL,MINERAL,0.3416910767555237
AM-371a-LIO,AM-371a,LIO,MINERAL,0.36968523263931274
AM-371a-TAI,AM-371a,TAI,MINERAL,0.017956778407096863
AM-371b-SIO,AM-371b,SIO,MINERAL,0.3934604525566101
AM-371d-NE,AM-371d,NE,GASEOUS,0.03509383648633957
AM-371f-AR,AM-371f,AR,GASEOUS,0.1710820347070694
AM-371f-H,AM-371f,H,GASEOUS,0.6524158716201782
AM-429a-FEO,AM-429a,FEO,MINERAL,0.7035315632820129
AM-429a-O,AM-429a,O,GASEOUS,0.2403002679347992
AM-429c-HE,AM-429c,HE,GASEOUS,0.15365158021450043
AM-429g-AMM,AM-429g,AMM,MINERAL,0.03124193474650383
AM-429i-H2O,AM-429i,H2O,MINERAL,0.035448066890239716
AM-462a-AR,AM-462a,AR,GASEOUS,0.022006360813975334
AM-462a-MAG,AM-462a,MAG,MINERAL,0.10266738384962082
AM-462b-LST,AM-462b,LST,MINERAL,0.04248980060219765
AM-462b-TIO,AM-462b,TIO,MINERAL,0.04655637964606285
AM-462c-SIO,AM-462c,SIO,MINERAL,0.02607247605919838
AM-462c-TAI,AM-462c,TAI,MINERAL,0.1498701423406601
AM-462d-BRM,AM-462d,BRM,MINERAL,0.014320433139801025
AM-462d-HE,AM-462d,HE,GASEOUS,0.254856675863266
AM-462d-HEX,AM-462d,HEX,LIQUID,0.030699724331498146
AM-462d-SIO,AM-462d,SIO,MINERAL,0.7498401403427124
AM-528a-HE,AM-528a,HE,GASEOUS,0.02791188471019268
AM-528a-SIO,AM-528a,SIO,MINERAL,0.03340774402022362
AM-528b-H2O,AM-528b,H2O,GASEOUS,0.5461753010749817
AM-528c-ALO,AM-528c,ALO,MINERAL,0.0451805554330349
AM-528c-LST,AM-528c,LST,MINERAL,0.5839012861251831
AM-528d-TIO,AM-528d,TIO,MINERAL,0.04950960725545883
AM-528e-BRM,AM-528e,BRM,MINERAL,0.02580934949219227
AM-528e-FEO,AM-528e,FEO,MINERAL,0.6562048196792603
AM-528e-GAL,AM-528e,GAL,MINERAL,0.01831916533410549
AM-528f-F,AM-528f,F,GASEOUS,0.04933867231011391
AM-528g-AMM,AM-528g,AMM,LIQUID,0.46177685260772705
AM-628a-FEO,AM-628a,FEO,MINERAL,0.02113957144320011
AM-628a-HE,AM-628a,HE,GASEOUS,0.020016033202409744
AM-628b-N,AM-628b,N,GASEOUS,0.062017202377319336
AM-628b-TCO,AM-628b,TCO,MINERAL,0.18057116866111755
AM-628d-HEX,AM-628d,HEX,LIQUID,0.028228968381881714
AM-628d-O,AM-628d,O,GASEOUS,0.3630698323249817
AM-628e-AMM,AM-628e,AMM,MINERAL,0.5246007442474365
AM-628g-AMM,AM-628g,AMM,MINERAL,0.032642073929309845
AM-628i-BER,AM-628i,BER,MINERAL,0.04394363984465599
AM-628i-BRM,AM-628i,BRM,MINERAL,0.2886272966861725
AM-644a-AMM,AM-644a,AMM,LIQUID,0.04296635091304779
AM-644a-BRM,AM-644a,BRM,MINERAL,0.0454312264919281
AM-644b-LIO,AM-644b,LIO,MINERAL,0.23437120020389557
AM-644b-O,AM-644b,O,GASEOUS,0.022512415423989296
AM-644b-SIO,AM-644b,SIO,MINERAL,0.04460717737674713
AM-644c-CLI,AM-644c,CLI,MINERAL,0.01705726608633995
AM-644c-HE,AM-644c,HE,GASEOUS,0.018546292558312416
AM-644c-N,AM-644c,N,LIQUID,0.016568569466471672
AM-644d-BRM,AM-644d,BRM,MINERAL,0.2429669052362442
AM-644d-GAL,AM-644d,GAL,MINERAL,0.01673489809036255
AM-695a-H2O,AM-695a,H2O,GASEOUS,0.3627384901046753
AM-695b-AMM,AM-695b,AMM,LIQUID,0.023075280711054802
AM-695b-H,AM-695b,H,GASEOUS,0.14200064539909363
AM-695b-HE,AM-695b,HE,GASEOUS,0.08877897262573242
AM-695b-SIO,AM-695b,SIO,MINERAL,0.6640390753746033
AM-695c-AMM,AM-695c,AMM,LIQUID,0.021296292543411255
AM-695c-LST,AM-695c,LST,MINERAL,0.016309726983308792
AM-695d-AMM,AM-695d,AMM,LIQUID,0.11976555734872818
AM-695d-CLI,AM-695d,CLI,MINERAL,0.5999205708503723
AM-695e-LES,AM-695e,LES,GASEOUS,0.026695482432842255
AM-695e-NE,AM-695e,NE,GASEOUS,0.18174110352993011
AM-695f-F,AM-695f,F,GASEOUS,0.0934479832649231
AM-695f-H,AM-695f,H,GASEOUS,0.0331522673368454
AM-695g-HE3,AM-695g,HE3,GASEOUS,0.0593600794672966
AM-695h-HE,AM-695h,HE,GASEOUS,0.025303132832050323
AM-783a-LES,AM-783a,LES,GASEOUS,0.04205678030848503
AM-783a-SIO,AM-783a,SIO,MINERAL,0.7374001145362854
AM-783b-BRM,AM-783b,BRM,MINERAL,0.5927628874778748
AM-783b-FEO,AM-783b,FEO,MINERAL,0.01107869204133749
AM-783c-ALO,AM-783c,ALO,MINERAL,0.36460915207862854
AM-783c-AMM,AM-783c,AMM,GASEOUS,0.01296913716942072
AM-783c-LST,AM-783c,LST,MINERAL,0.5138204097747803
AM-783c-MGS,AM-783c,MGS,MINERAL,0.042903073132038116
AM-783d-LIO,AM-783d,LIO,MINERAL,0.3377498388290405
AM-783d-MGS,AM-783d,MGS,MINERAL,0.022320276126265526
AM-783d-TCO,AM-783d,TCO,MINERAL,0.18561163544654846
AM-783e-GAL,AM-783e,GAL,MINERAL,0.03826926648616791
AM-783f-N,AM-783f,N,LIQUID,0.03921694681048393
AM-783g-AMM,AM-783g,AMM,MINERAL,0.04169721528887749
AM-783g-O,AM-783g,O,LIQUID,0.10731939226388931
AM-884a-SIO,AM-884a,SIO,MINERAL,0.5226241946220398
AM-884b-H2O,AM-884b,H2O,MINERAL,0.6117679476737976
AM-884b-HE,AM-884b,HE,GASEOUS,0.1868671178817749
AM-884b-TAI,AM-884b,TAI,MINERAL,0.03483100235462189
AM-884c-BER,AM-884c,BER,MINERAL,0.1941249966621399
AM-884c-FEO,AM-884c,FEO,MINERAL,0.6715310215950012
AM-884c-GAL,AM-884c,GAL,MINERAL,0.13899682462215424
AM-884d-FEO,AM-884d,FEO,MINERAL,0.6224722862243652
AM-884d-HE,AM-884d,HE,GASEOUS,0.06468220800161362
AM-884d-MGS,AM-884d,MGS,MINERAL,0.01713540405035019
AM-884d-N,AM-884d,N,LIQUID,0.09102959930896759
AM-978a-AMM,AM-978a,AMM,GASEOUS,0.043371833860874176
AM-978a-CLI,AM-978a,CLI,MINERAL,0.0421113595366478
AM-978a-MAG,AM-978a,MAG,MINERAL,0.198722705245018
AM-978b-GAL,AM-978b,GAL,MINERAL,0.13489243388175964
AM-978b-NE,AM-978b,NE,GASEOUS,0.01999772898852825
AM-978c-ALO,AM-978c,ALO,MINERAL,0.34221574664115906
AM-978c-CLI,AM-978c,CLI,MINERAL,0.3654800355434418
AM-978c-GAL,AM-978c,GAL,MINERAL,0.01922806166112423
AM-978d-BRM,AM-978d,BRM,MINERAL,0.045907411724328995
AM-978d-FEO,AM-978d,FEO,MINERAL,0.6701790690422058
AM-978d-HE,AM-978d,HE,GASEOUS,0.014216690324246883
AM-978e-HE,AM-978e,HE,GASEOUS,0.011587364599108696
AM-978f-LES,AM-978f,LES,GASEOUS,0.0274713896214962
AN-240a-O,AN-240a,O,GASEOUS,0.014080272056162357
AN-240b-MAG,AN-240b,MAG,MINERAL,0.14313308894634247
AN-240c-SIO,AN-240c,SIO,MINERAL,0.6679148077964783
AN-240d-CLI,AN-240d,CLI,MINERAL,0.04205732420086861
AN-240d-MGS,AN-240d,MGS,MINERAL,0.6734729409217834
AN-240d-SIO,AN-240d,SIO,MINERAL,0.3101269006729126
AN-240e-BOR,AN-240e,BOR,MINERAL,0.037333905696868896
AN-240e-BRM,AN-240e,BRM,MINERAL,0.2789640426635742
AN-240e-H2O,AN-240e,H2O,MINERAL,0.482082337141037
AN-240f-F,AN-240f,F,GASEOUS,0.13044950366020203
AN-240h-H,AN-240h,H,GASEOUS,0.012025133706629276
AS-479a-SIO,AS-479a,SIO,MINERAL,0.6983504295349121
AS-479b-GAL,AS-479b,GAL,MINERAL,0.09826917201280594
AS-479b-N,AS-479b,N,LIQUID,0.04825622960925102
AS-479c-BRM,AS-479c,BRM,MINERAL,0.02776382490992546
AS-479c-LST,AS-479c,LST,MINERAL,0.015102870762348175
AS-479d-BER,AS-479d,BER,MINERAL,0.1098131611943245
AS-479d-HE,AS-479d,HE,GASEOUS,0.1432725191116333
AS-479d-LIO,AS-479d,LIO,MINERAL,0.0320935882627964
AS-479d-TAI,AS-479d,TAI,MINERAL,0.04281245917081833
AS-479d-TIO,AS-479d,TIO,MINERAL,0.039573777467012405
AS-479e-AMM,AS-479e,AMM,MINERAL,0.14580510556697845
AS-479e-CLI,AS-479e,CLI,MINERAL,0.03757955878973007
AS-479e-FEO,AS-479e,FEO,MINERAL,0.027444373816251755
AS-479e-LES,AS-479e,LES,GASEOUS,0.04860604926943779
AS-479f-AMM,AS-479f,AMM,MINERAL,0.04891197383403778
AS-479f-N,AS-479f,N,GASEOUS,0.04802050441503525
AS-479g-O,AS-479g,O,LIQUID,0.11803679168224335
AU-130a-GAL,AU-130a,GAL,MINERAL,0.3080092668533325
AU-130a-O,AU-130a,O,GASEOUS,0.033179912716150284
AU-130a-SIO,AU-130a,SIO,MINERAL,0.5504593253135681
AU-130b-FEO,AU-130b,FEO,MINERAL,0.6936925053596497
AU-130b-HE,AU-130b,HE,GASEOUS,0.09630449116230011
AU-130d-O,AU-130d,O,GASEOUS,0.0410037562251091
AU-130d-SCR,AU-130d,SCR,MINERAL,0.03104570508003235
AU-290a-BER,AU-290a,BER,MINERAL,0.17991502583026886
AU-290a-TAI,AU-290a,TAI,MINERAL,0.01562843658030033
AU-290b-HE,AU-290b,HE,GASEOUS,0.028296854346990585
AU-290c-CUO,AU-290c,CUO,MINERAL,0.01361960731446743
AU-290c-H2O,AU-290c,H2O,MINERAL,0.4968327283859253
AU-290c-TAI,AU-290c,TAI,MINERAL,0.025421807542443275
AU-322a-HE,AU-322a,HE,GASEOUS,0.055210795253515244
AU-322a-ZIR,AU-322a,ZIR,MINERAL,0.046124327927827835
AU-322b-HE,AU-322b,HE,GASEOUS,0.04506659880280495
AU-322b-TAI,AU-322b,TAI,MINERAL,0.01768246851861477
AU-322c-H2O,AU-322c,H2O,MINERAL,0.1584366261959076
AU-322c-HE,AU-322c,HE,GASEOUS,0.0169875118881464
AU-322c-SIO,AU-322c,SIO,MINERAL,0.5962842702865601
AU-322d-AR,AU-322d,AR,GASEOUS,0.1912657618522644
AU-322e-LES,AU-322e,LES,GASEOUS,0.02464517392218113
AU-522a-FEO,AU-522a,FEO,MINERAL,0.03042166493833065
AU-522a-GAL,AU-522a,GAL,MINERAL,0.04698920249938965
AU-522a-SIO,AU-522a,SIO,MINERAL,0.014018133282661438
AU-522b-BOR,AU-522b,BOR,MINERAL,0.023281274363398552
AU-522b-BRM,AU-522b,BRM,MINERAL,0.5611979961395264
AU-522b-HAL,AU-522b,HAL,MINERAL,0.1344476044178009
AU-522b-HE,AU-522b,HE,GASEOUS,0.19463315606117249
AU-605a-CUO,AU-605a,CUO,MINERAL,0.2108006775379181
AU-605a-GAL,AU-605a,GAL,MINERAL,0.013772234320640564
AU-605a-NE,AU-605a,NE,GASEOUS,0.013350977562367916
AU-605b-GAL,AU-605b,GAL,MINERAL,0.03342096880078316
AU-605b-HE,AU-605b,HE,GASEOUS,0.015603861771523952
AU-605c-TIO,AU-605c,TIO,MINERAL,0.30353543162345886
AU-605d-AMM,AU-605d,AMM,LIQUID,0.04745933413505554
AU-605d-HE,AU-605d,HE,GASEOUS,0.2468043565750122
AU-605d-TAI,AU-605d,TAI,MINERAL,0.19076323509216309
AU-605e-HE,AU-605e,HE,GASEOUS,0.0270418431609869
AU-605g-HE,AU-605g,HE,GASEOUS,0.3914186954498291
AU-605h-HE,AU-605h,HE,GASEOUS,0.2502458989620209
AU-605h-NE,AU-605h,NE,GASEOUS,0.011536141857504845
AU-686a-FEO,AU-686a,FEO,MINERAL,0.020687079057097435
AU-686b-BRM,AU-686b,BRM,MINERAL,0.25268298387527466
AU-686b-GAL,AU-686b,GAL,MINERAL,0.04594128578901291
AU-686b-SIO,AU-686b,SIO,MINERAL,0.02419591322541237
AU-709a-ALO,AU-709a,ALO,MINERAL,0.03303094580769539
AU-709a-SIO,AU-709a,SIO,MINERAL,0.04598994925618172
AU-709b-SIO,AU-709b,SIO,MINERAL,0.04654696583747864
AU-709e-HE,AU-709e,HE,GASEOUS,0.03291388973593712
AU-876b-SIO,AU-876b,SIO,MINERAL,0.01891043595969677
AU-876c-AMM,AU-876c,AMM,MINERAL,0.030047612264752388
AW-006a-BTS,AW-006a,BTS,LIQUID,0.11750034242868423
AW-006a-CLI,AW-006a,CLI,MINERAL,0.31776267290115356
AW-006c-LST,AW-006c,LST,MINERAL,0.6767524480819702
AW-006d-AMM,AW-006d,AMM,MINERAL,0.041763633489608765
AW-006d-NE,AW-006d,NE,GASEOUS,0.01624169759452343
AW-006d-TAI,AW-006d,TAI,MINERAL,0.11428267508745193
AW-066a-AMM,AW-066a,AMM,LIQUID,0.06837747246026993
AW-066a-TAI,AW-066a,TAI,MINERAL,0.019658129662275314
AW-066b-FEO,AW-066b,FEO,MINERAL,0.6567495465278625
AW-066b-H,AW-066b,H,GASEOUS,0.047960344702005386
AW-066b-LIO,AW-066b,LIO,MINERAL,0.36644211411476135
AW-066b-MGS,AW-066b,MGS,MINERAL,0.6460123062133789
AW-066c-HE,AW-066c,HE,GASEOUS,0.023233620449900627
AW-066c-LIO,AW-066c,LIO,MINERAL,0.01948496699333191
AW-066c-MGS,AW-066c,MGS,MINERAL,0.013061636127531528
AW-066d-ALO,AW-066d,ALO,MINERAL,0.12250843644142151
AW-066d-GAL,AW-066d,GAL,MINERAL,0.3672114610671997
AW-066e-N,AW-066e,N,GASEOUS,0.7111551761627197
AW-284a-GAL,AW-284a,GAL,MINERAL,0.32130667567253113
AW-284a-H2O,AW-284a,H2O,GASEOUS,0.32906779646873474
AW-284a-HE,AW-284a,HE,GASEOUS,0.09934201091527939
AW-284b-HE,AW-284b,HE,GASEOUS,0.15402618050575256
AW-284b-N,AW-284b,N,GASEOUS,0.08019616454839706
AW-284c-BOR,AW-284c,BOR,MINERAL,0.03421119973063469
AW-284c-GAL,AW-284c,GAL,MINERAL,0.042938217520713806
AW-284d-AMM,AW-284d,AMM,MINERAL,0.1353251188993454
AW-284d-BRM,AW-284d,BRM,MINERAL,0.0260195080190897
AW-284d-HAL,AW-284d,HAL,MINERAL,0.22541646659374237
AW-284d-HE,AW-284d,HE,GASEOUS,0.14457833766937256
AW-284f-AMM,AW-284f,AMM,MINERAL,0.5989084839820862
AW-726a-MGS,AW-726a,MGS,MINERAL,0.6156870126724243
AW-726b-AMM,AW-726b,AMM,LIQUID,0.028846079483628273
AW-726b-BRM,AW-726b,BRM,MINERAL,0.042922493070364
AW-726b-GAL,AW-726b,GAL,MINERAL,0.3843507468700409
AW-726c-ALO,AW-726c,ALO,MINERAL,0.3410421907901764
AW-726c-TAI,AW-726c,TAI,MINERAL,0.04987655207514763
AW-726d-AMM,AW-726d,AMM,MINERAL,0.04325222223997116
AW-726e-N,AW-726e,N,GASEOUS,0.6713707447052002
AW-844a-BTS,AW-844a,BTS,LIQUID,0.023983076214790344
AW-844a-H,AW-844a,H,GASEOUS,0.1358543187379837
AW-844a-N,AW-844a,N,GASEOUS,0.2623744010925293
AW-844b-MAG,AW-844b,MAG,MINERAL,0.04711911082267761
AW-844b-TCO,AW-844b,TCO,MINERAL,0.11536320298910141
AW-844c-BRM,AW-844c,BRM,MINERAL,0.30089688301086426
AW-844c-GAL,AW-844c,GAL,MINERAL,0.20242828130722046
AW-844d-BRM,AW-844d,BRM,MINERAL,0.02568749524652958
AW-844d-H,AW-844d,H,GASEOUS,0.14759857952594757
AW-844e-HE,AW-844e,HE,GASEOUS,0.26895591616630554
AW-844h-NE,AW-844h,NE,GASEOUS,0.1177864521741867
AW-844i-BRM,AW-844i,BRM,MINERAL,0.34583330154418945
AW-844i-SIO,AW-844i,SIO,MINERAL,0.7630882263183594
AW-844i-TAI,AW-844i,TAI,MINERAL,0.13272760808467865
AX-013a-ALO,AX-013a,ALO,MINERAL,0.01229338813573122
AX-013a-CUO,AX-013a,CUO,MINERAL,0.36882123351097107
AX-013a-HE,AX-013a,HE,GASEOUS,0.1380743533372879
AX-013c-AMM,AX-013c,AMM,LIQUID,0.08455291390419006
AX-013c-CLI,AX-013c,CLI,MINERAL,0.049019552767276764
AX-013c-LIO,AX-013c,LIO,MINERAL,0.23546497523784637
AX-013c-TIO,AX-013c,TIO,MINERAL,0.028429556638002396
AX-013d-MAG,AX-013d,MAG,MINERAL,0.2412908673286438
AX-013d-SIO,AX-013d,SIO,MINERAL,0.034533727914094925
AX-128a-BRM,AX-128a,BRM,MINERAL,0.5699328780174255
AX-128a-MGS,AX-128a,MGS,MINERAL,0.6297544836997986
AX-128b-ALO,AX-128b,ALO,MINERAL,0.27288028597831726
AX-128b-GAL,AX-128b,GAL,MINERAL,0.04100188985466957
AX-128b-HAL,AX-128b,HAL,MINERAL,0.28979727625846863
AX-128c-GAL,AX-128c,GAL,MINERAL,0.0364169105887413
AX-128c-H2O,AX-128c,H2O,MINERAL,0.04068811610341072
AX-128d-N,AX-128d,N,GASEOUS,0.6809248924255371
AX-128d-O,AX-128d,O,GASEOUS,0.1249942034482956
AX-128e-O,AX-128e,O,LIQUID,0.1912020891904831
AX-128e-TAI,AX-128e,TAI,MINERAL,0.025333432480692863
AX-128f-HE,AX-128f,HE,GASEOUS,0.288358211517334
AX-128f-LES,AX-128f,LES,GASEOUS,0.04206437990069389
AX-128g-H,AX-128g,H,GASEOUS,0.6278009414672852
AX-215a-BRM,AX-215a,BRM,MINERAL,0.23859135806560516
AX-215a-FEO,AX-215a,FEO,MINERAL,0.5818431377410889
AX-215a-GAL,AX-215a,GAL,MINERAL,0.038221996277570724
AX-215a-SIO,AX-215a,SIO,MINERAL,0.49578166007995605
AX-215b-TIO,AX-215b,TIO,MINERAL,0.24289585649967194
AX-215d-AMM,AX-215d,AMM,LIQUID,0.03783099725842476
AX-215d-CLI,AX-215d,CLI,MINERAL,0.03303973004221916
AX-215d-O,AX-215d,O,GASEOUS,0.28798985481262207
AX-215e-BRM,AX-215e,BRM,MINERAL,0.5260176062583923
AX-215e-O,AX-215e,O,LIQUID,0.23896968364715576
AX-215e-SIO,AX-215e,SIO,MINERAL,0.6028347611427307
AX-215i-AMM,AX-215i,AMM,MINERAL,0.40354347229003906
AX-215i-HE,AX-215i,HE,GASEOUS,0.011393559165298939
AX-215j-GAL,AX-215j,GAL,MINERAL,0.019867898896336555
AX-215j-HE,AX-215j,HE,GASEOUS,0.012355751357972622
AX-215j-TAI,AX-215j,TAI,MINERAL,0.13333676755428314
AX-383a-SIO,AX-383a,SIO,MINERAL,0.02706982009112835
AX-383b-HE,AX-383b,HE,GASEOUS,0.029590830206871033
AX-383c-BRM,AX-383c,BRM,MINERAL,0.5948898792266846
AX-383d-GAL,AX-383d,GAL,MINERAL,0.046849653124809265
AX-383d-N,AX-383d,N,MINERAL,0.01732569932937622
AX-383d-TAI,AX-383d,TAI,MINERAL,0.04653694108128548
AX-383e-AMM,AX-383e,AMM,MINERAL,0.027607640251517296
AX-383f-O,AX-383f,O,LIQUID,0.03591647371649742
AX-383g-AR,AX-383g,AR,MINERAL,0.06098572537302971
AX-558a-HE,AX-558a,HE,GASEOUS,0.03664056956768036
AX-558a-MAG,AX-558a,MAG,MINERAL,0.026541370898485184
AX-558b-FEO,AX-558b,FEO,MINERAL,0.027743248268961906
AX-558b-SCR,AX-558b,SCR,MINERAL,0.1799120455980301
AX-558c-HAL,AX-558c,HAL,MINERAL,0.2595299780368805
AX-558c-MAG,AX-558c,MAG,MINERAL,0.16753657162189484
AX-558d-CLI,AX-558d,CLI,MINERAL,0.017574530094861984
AX-558d-GAL,AX-558d,GAL,MINERAL,0.40875452756881714
AX-558e-F,AX-558e,F,GASEOUS,0.01385528314858675
AX-558g-AMM,AX-558g,AMM,MINERAL,0.3362835943698883
AX-872a-CLI,AX-872a,CLI,MINERAL,0.02406749315559864
AX-872a-FEO,AX-872a,FEO,MINERAL,0.6425696611404419
AX-872a-HE,AX-872a,HE,GASEOUS,0.041320737451314926
AX-872a-O,AX-872a,O,GASEOUS,0.010622993111610413
AX-872b-BOR,AX-872b,BOR,MINERAL,0.01721213012933731
AX-872b-FEO,AX-872b,FEO,MINERAL,0.030302779749035835
AX-872b-H2O,AX-872b,H2O,LIQUID,0.016543429344892502
AX-872b-HAL,AX-872b,HAL,MINERAL,0.17957979440689087
AX-872c-BRM,AX-872c,BRM,MINERAL,0.010570015758275986
AX-872c-HE,AX-872c,HE,GASEOUS,0.0607764758169651
AX-872c-LST,AX-872c,LST,MINERAL,0.039478495717048645
AX-872c-TAI,AX-872c,TAI,MINERAL,0.04382038488984108
